X Y Z F R I
-1.8 0.8 0 0.00835364 -0.00729887 0.00406323
-1.8 0.9 0 0.0190968 0.00128683 0.0190534
-1.8 1 0 0.0279852 0.0125933 0.0249916
-1.8 1.1 0 0.0336554 0.0200746 0.0270128
-1.8 1.2 0 0.0281988 0.0178095 0.0218631
-1.8 1.3 0 0.014618 0.0130043 0.00667645
-1.8 1.4 0 0.0171746 0.0139483 -0.0100206
-1.8 1.5 0 0.0263193 0.0182784 -0.0189368
-1.8 1.6 0 0.0279424 0.0197989 -0.0197176
-1.8 1.7 0 0.024042 0.0164019 -0.0175782
-1.8 1.8 0 0.0200306 0.0108888 -0.0168124
-1.8 1.9 0 0.0185687 0.00623772 -0.0174896
-1.7 -2 0 0.023245 -0.0103148 0.0208311
-1.7 -1.9 0 0.0240383 0.02082 0.0120153
-1.7 -1.8 0 0.0246171 0.0141178 -0.0201665
-1.7 -1.7 0 0.0247641 -0.0188376 -0.016075
-1.7 -1.6 0 0.0245765 -0.0175324 0.0172226
-1.7 -1.5 0 0.0245822 0.0157969 0.0188346
-1.7 -1.4 0 0.0253087 0.0209328 -0.0142249
-1.7 -1.3 0 0.0264254 -0.0108567 -0.0240922
-1.7 -1.2 0 0.0266508 -0.0263324 0.00410693
-1.7 -1.1 0 0.0246553 -0.00462967 0.0242167
-1.7 -1 0 0.0198973 0.0171314 0.0101201
-1.7 -0.9 0 0.0142535 0.00849631 -0.0114444
-1.7 -0.8 0 0.0167398 -0.0150773 -0.00727295
-1.7 -0.7 0 0.0261463 -0.0191382 0.0178145
-1.7 -0.6 0 0.02908 0.00321294 0.0289019
-1.7 -0.5 0 0.0233608 0.0219482 0.00800029
-1.7 -0.4 0 0.0227611 0.0108513 -0.0200079
-1.7 -0.3 0 0.0274015 -0.0181032 -0.0205698
-1.7 -0.2 0 0.0338284 -0.0332707 0.00611758
-1.7 -0.1 0 0.0370871 -0.020675 0.0307896
-1.7 6.38378e-16 0 0.0337885 0.00586138 0.0332762
-1.7 0.1 0 0.027786 0.0206694 0.0185698
-1.7 0.2 0 0.0112592 0.010947 0.00263335
-1.7 0.3 0 0.0118319 -0.0117038 -0.00173601
-1.7 0.4 0 0.03026 -0.0287526 0.00943168
-1.7 0.5 0 0.0425307 -0.0339154 0.0256634
-1.7 0.6 0 0.0406819 -0.0271321 0.0303128
-1.7 0.7 0 0.0231748 -0.00976789 0.0210157
-1.7 0.8 0 0.0105215 0.00778727 0.00707536
-1.7 0.9 0 0.0176465 0.0154966 -0.00844118
-1.7 1 0 0.0292783 0.0169905 -0.0238442
-1.7 1.1 0 0.0346048 0.0170709 -0.0301011
-1.7 1.2 0 0.0264423 0.0113028 -0.0239049
-1.7 1.3 0 0.0141427 -0.00230049 -0.0139543
-1.7 1.4 0 0.019276 -0.0172193 -0.00866375
-1.7 1.5 0 0.0271439 -0.025767 -0.00853522
-1.7 1.6 0 0.0273045 -0.0259858 -0.00838288
-1.7 1.7 0 0.023454 -0.0229272 -0.00494321
-1.7 1.8 0 0.0203742 -0.0203565 -0.00084815
-1.7 1.9 0 0.0181337 -0.0177419 0.00374925
-1.6 -2 0 0.0231182 0.0191261 0.0129862
-1.6 -1.9 0 0.0237042 0.013951 -0.019164
-1.6 -1.8 0 0.0242711 -0.0185657 -0.0156333
-1.6 -1.7 0 0.0245765 -0.0175324 0.0172226
-1.6 -1.6 0 0.0245318 0.0154287 0.0190727
-1.6 -1.5 0 0.0244578 0.0201813 -0.0138166
-1.6 -1.4 0 0.0250422 -0.0125998 -0.0216416
-1.6 -1.3 0 0.0265205 -0.0243093 0.0106018
-1.6 -1.2 0 0.0278436 0.00568407 0.0272572
-1.6 -1.1 0 0.0272377 0.0271194 0.00253557
-1.6 -1 0 0.023376 0.0100781 -0.021092
-1.6 -0.9 0 0.0164742 -0.01262 -0.0105894
-1.6 -0.8 0 0.0140715 -0.00622071 0.0126217
-1.6 -0.7 0 0.0233957 0.0188738 0.0138253
-1.6 -0.6 0 0.0286026 0.0273002 -0.00853296
-1.6 -0.5 0 0.0242759 0.00502184 -0.0237508
-1.6 -0.4 0 0.0224867 -0.0206071 -0.00899988
-1.6 -0.3 0 0.0252912 -0.0154753 0.0200041
-1.6 -0.2 0 0.0332856 0.0147828 0.0298228
-1.6 -0.1 0 0.0371212 0.0357602 0.0099598
-1.6 6.38378e-16 0 0.0363713 0.030957 -0.0190929
-1.6 0.1 0 0.0321505 0.0124486 -0.0296427
-1.6 0.2 0 0.0150094 -0.00165037 -0.0149184
-1.6 0.3 0 0.00728715 0.00066765 0.0072565
-1.6 0.4 0 0.0280518 0.0196011 0.0200674
-1.6 0.5 0 0.0435711 0.0379103 0.0214769
-1.6 0.6 0 0.0404032 0.0383282 0.0127815
-1.6 0.7 0 0.0240308 0.0239607 -0.00183413
-1.6 0.8 0 0.0120191 0.00545327 -0.0107108
-1.6 0.9 0 0.0170524 -0.0142471 -0.00937037
-1.6 1 0 0.0309374 -0.0304291 -0.00558476
-1.6 1.1 0 0.0344997 -0.0343251 -0.00346646
-1.6 1.2 0 0.0249013 -0.0248888 0.000789362
-1.6 1.3 0 0.0142939 -0.0101474 0.0100672
-1.6 1.4 0 0.0214114 0.000161644 0.0214108
-1.6 1.5 0 0.0275216 0.00326218 0.0273275
-1.6 1.6 0 0.0263653 0.00507347 0.0258725
-1.6 1.7 0 0.0239513 0.00759717 0.0227145
-1.6 1.8 0 0.0198675 0.00857157 0.0179234
-1.6 1.9 0 0.0177651 0.0134386 0.0116191
-1.5 -2 0 0.0235667 0.0166579 -0.0166704
-1.5 -1.9 0 0.0239664 -0.017231 -0.0166578
-1.5 -1.8 0 0.0243731 -0.0174702 0.0169953
-1.5 -1.7 0 0.0245822 0.0157969 0.0188346
-1.5 -1.6 0 0.0244578 0.0201813 -0.0138166
-1.5 -1.5 0 0.0241614 -0.0117376 -0.0211188
-1.5 -1.4 0 0.0243387 -0.0220695 0.010262
-1.5 -1.3 0 0.0257218 0.00896129 0.0241103
-1.5 -1.2 0 0.0279276 0.0273224 -0.00578222
-1.5 -1.1 0 0.029111 0.00103836 -0.0290925
-1.5 -1 0 0.0271241 -0.0253686 -0.00959937
-1.5 -0.9 0 0.0205476 -0.0130966 0.015833
-1.5 -0.8 0 0.0133594 0.0110906 0.0074479
-1.5 -0.7 0 0.020668 0.00934175 -0.0184364
-1.5 -0.6 0 0.0274697 -0.0132177 -0.0240806
-1.5 -0.5 0 0.0246894 -0.0246687 -0.00101075
-1.5 -0.4 0 0.0225605 -0.00760839 0.0212388
-1.5 -0.3 0 0.0229073 0.0199958 0.0111765
-1.5 -0.2 0 0.0321704 0.0247411 -0.0205624
-1.5 -0.1 0 0.036314 -0.00139498 -0.0362872
-1.5 6.38378e-16 0 0.0393139 -0.031149 -0.0239859
-1.5 0.1 0 0.0356473 -0.0355853 -0.00210178
-1.5 0.2 0 0.019438 -0.0168847 0.0096302
-1.5 0.3 0 0.00210468 0.00208806 0.000263975
-1.5 0.4 0 0.0266107 0.00919322 -0.0249723
-1.5 0.5 0 0.043363 0.00592387 -0.0429565
-1.5 0.6 0 0.0396844 -0.00452956 -0.039425
-1.5 0.7 0 0.0263842 -0.0139065 -0.0224218
-1.5 0.8 0 0.0125155 -0.0123258 -0.00217076
-1.5 0.9 0 0.0176344 -0.00195389 0.0175258
-1.5 1 0 0.0319455 0.00743398 0.0310685
-1.5 1.1 0 0.0342404 0.010951 0.0324419
-1.5 1.2 0 0.0234241 0.011301 0.0205177
-1.5 1.3 0 0.0151245 0.0149372 0.00237287
-1.5 1.4 0 0.0234458 0.0212188 -0.00997339
-1.5 1.5 0 0.0267675 0.0224051 -0.0146463
-1.5 1.6 0 0.0266472 0.0197671 -0.01787
-1.5 1.7 0 0.0246384 0.0174197 -0.0174243
-1.5 1.8 0 0.0174243 0.00954849 -0.0145751
-1.5 1.9 0 0.0205935 0.000737817 -0.0205803
-1.4 -2 0 0.0240605 -0.0120099 -0.0208488
-1.4 -1.9 0 0.0245946 -0.0203997 0.0137385
-1.4 -1.8 0 0.0250854 0.0145887 0.020407
-1.4 -1.7 0 0.0253087 0.0209328 -0.0142249
-1.4 -1.6 0 0.0250422 -0.0125998 -0.0216416
-1.4 -1.5 0 0.0243387 -0.0220695 0.010262
-1.4 -1.4 0 0.0237719 0.008206 0.0223106
-1.4 -1.3 0 0.0243766 0.0234005 -0.00682894
-1.4 -1.2 0 0.0266518 -0.0047425 -0.0262265
-1.4 -1.1 0 0.0293444 -0.029341 -0.000449015
-1.4 -1 0 0.0299704 -0.00897154 0.0285961
-1.4 -0.9 0 0.0255911 0.0202522 0.0156445
-1.4 -0.8 0 0.0156182 0.0110458 -0.0110418
-1.4 -0.7 0 0.0184699 -0.0170871 -0.00701198
-1.4 -0.6 0 0.0262943 -0.0202276 0.0167998
-1.4 -0.5 0 0.0249046 0.00413292 0.0245593
-1.4 -0.4 0 0.0228592 0.022066 0.00596953
-1.4 -0.3 0 0.0205007 0.00770191 -0.018999
-1.4 -0.2 0 0.0299625 -0.0229201 -0.0192982
-1.4 -0.1 0 0.0347071 -0.0327292 0.011549
-1.4 6.38378e-16 0 0.0421107 -0.0137802 0.0397922
-1.4 0.1 0 0.0383031 0.0114159 0.0365624
-1.4 0.2 0 0.0252932 0.0201429 0.0152974
-1.4 0.3 0 0.00388137 0.00361882 0.00140327
-1.4 0.4 0 0.0249468 -0.0249309 0.00089073
-1.4 0.5 0 0.0414156 -0.0402115 0.00991418
-1.4 0.6 0 0.0399783 -0.0337522 0.0214254
-1.4 0.7 0 0.0288298 -0.0161009 0.0239147
-1.4 0.8 0 0.0128426 0.00249409 0.0125981
-1.4 0.9 0 0.0182262 0.0173167 -0.00568582
-1.4 1 0 0.0328894 0.0260538 -0.0200727
-1.4 1.1 0 0.0340138 0.0252023 -0.0228424
-1.4 1.2 0 0.0212835 0.0114284 -0.0179549
-1.4 1.3 0 0.0175866 -0.00707637 -0.0161001
-1.4 1.4 0 0.0238979 -0.0179338 -0.0157952
-1.4 1.5 0 0.0263049 -0.0235886 -0.0116415
-1.4 1.6 0 0.0286694 -0.0269382 -0.00981163
-1.4 1.7 0 0.0229159 -0.0213756 -0.00825968
-1.4 1.8 0 0.0160967 -0.0158301 0.00291741
-1.4 1.9 0 0.0258198 -0.023138 0.0114585
-1.3 -2 0 0.0236703 -0.0232336 0.00452579
-1.3 -1.9 0 0.024699 0.00728902 0.0235989
-1.3 -1.8 0 0.0256851 0.0238225 -0.00960263
-1.3 -1.7 0 0.0264254 -0.0108567 -0.0240922
-1.3 -1.6 0 0.0265205 -0.0243093 0.0106018
-1.3 -1.5 0 0.0257218 0.00896129 0.0241103
-1.3 -1.4 0 0.0243766 0.0234005 -0.00682894
-1.3 -1.3 0 0.0236344 -0.00518445 -0.0230587
-1.3 -1.2 0 0.0248121 -0.0245516 0.00358602
-1.3 -1.1 0 0.0277807 -0.000217677 0.0277799
-1.3 -1 0 0.0306138 0.0295705 0.00792405
-1.3 -0.9 0 0.029917 0.0173917 -0.0243424
-1.3 -0.8 0 0.0203482 -0.0120861 -0.0163699
-1.3 -0.7 0 0.016978 -0.00774509 0.0151084
-1.3 -0.6 0 0.0252579 0.0185257 0.0171685
-1.3 -0.5 0 0.0259431 0.0239358 -0.0100061
-1.3 -0.4 0 0.0234761 0.00351866 -0.0232109
-1.3 -0.3 0 0.0189616 -0.0183965 -0.00459468
-1.3 -0.2 0 0.0262304 -0.0141468 0.0220885
-1.3 -0.1 0 0.0325467 0.0191283 0.0263324
-1.3 6.38378e-16 0 0.04306 0.0429917 0.00242362
-1.3 0.1 0 0.0413817 0.0319959 -0.0262433
-1.3 0.2 0 0.0321216 0.009325 -0.0307383
-1.3 0.3 0 0.00776587 0.000885849 -0.00771518
-1.3 0.4 0 0.0216848 0.00816462 0.0200891
-1.3 0.5 0 0.0389191 0.0233133 0.0311639
-1.3 0.6 0 0.0409521 0.0342457 0.0224568
-1.3 0.7 0 0.0306773 0.0301905 0.00544343
-1.3 0.8 0 0.013738 0.0115829 -0.00738702
-1.3 0.9 0 0.018775 -0.0129888 -0.0135571
-1.3 1 0 0.0344351 -0.0299655 -0.016966
-1.3 1.1 0 0.0325239 -0.0294544 -0.0137928
-1.3 1.2 0 0.0199863 -0.0199797 0.000513279
-1.3 1.3 0 0.0200613 -0.0132589 0.0150551
-1.3 1.4 0 0.0227403 -0.00538648 0.0220931
-1.3 1.5 0 0.0285925 0.00228592 0.028501
-1.3 1.6 0 0.0295724 0.00118534 0.0295487
-1.3 1.7 0 0.018529 0.00293115 0.0182957
-1.3 1.8 0 0.0201576 0.0158529 0.0124505
-1.3 1.9 0 0.0288563 0.0211465 0.0196345
-1.2 -2 0 0.0215789 -0.00349729 0.0212937
-1.2 -1.9 0 0.0232728 0.0232404 0.00122642
-1.2 -1.8 0 0.0249856 -0.0015346 -0.0249384
-1.2 -1.7 0 0.0266508 -0.0263324 0.00410693
-1.2 -1.6 0 0.0278436 0.00568407 0.0272572
-1.2 -1.5 0 0.0279276 0.0273224 -0.00578222
-1.2 -1.4 0 0.0266518 -0.0047425 -0.0262265
-1.2 -1.3 0 0.0248121 -0.0245516 0.00358602
-1.2 -1.2 0 0.0241886 0.00264864 0.0240432
-1.2 -1.1 0 0.0258928 0.0258915 -0.000263775
-1.2 -1 0 0.0291288 0.00582422 -0.0285406
-1.2 -0.9 0 0.0319071 -0.0271049 -0.0168342
-1.2 -0.8 0 0.0253341 -0.0214998 0.0134005
-1.2 -0.7 0 0.0167374 0.0125349 0.0110914
-1.2 -0.6 0 0.0232757 0.0157159 -0.0171688
-1.2 -0.5 0 0.0282502 -0.0152137 -0.0238038
-1.2 -0.4 0 0.0246528 -0.0246504 -0.000343424
-1.2 -0.3 0 0.0199976 -0.00186492 0.0199105
-1.2 -0.2 0 0.0215376 0.0195598 0.00901574
-1.2 -0.1 0 0.0300821 0.0189747 -0.023343
-1.2 6.38378e-16 0 0.0404533 -0.00858008 -0.0395329
-1.2 0.1 0 0.0455675 -0.0392823 -0.0230932
-1.2 0.2 0 0.0384472 -0.0384244 0.00132293
-1.2 0.3 0 0.0121914 -0.0112169 0.00477604
-1.2 0.4 0 0.0177867 0.0129897 -0.0121504
-1.2 0.5 0 0.0366177 0.0184961 -0.0316031
-1.2 0.6 0 0.0410544 0.00701204 -0.0404511
-1.2 0.7 0 0.0330905 -0.00760699 -0.0322042
-1.2 0.8 0 0.0142273 -0.0111543 -0.00883173
-1.2 0.9 0 0.0206572 -0.00736707 0.0192988
-1.2 1 0 0.0352684 -0.00560812 0.0348196
-1.2 1.1 0 0.02973 0.00012194 0.0297297
-1.2 1.2 0 0.0215671 0.0122962 0.0177184
-1.2 1.3 0 0.0200433 0.0189291 0.00658954
-1.2 1.4 0 0.0232171 0.021747 -0.00813027
-1.2 1.5 0 0.0322219 0.0281885 -0.0156097
-1.2 1.6 0 0.0267066 0.0244595 -0.0107225
-1.2 1.7 0 0.0166052 0.00946006 -0.013647
-1.2 1.8 0 0.0254958 0.00546284 -0.0249036
-1.2 1.9 0 0.0274795 0.00987658 -0.0256433
-1.1 -2 0 0.0178058 0.0160493 0.00771139
-1.1 -1.9 0 0.0198042 0.00762598 -0.018277
-1.1 -1.8 0 0.0220993 -0.0211099 -0.00653839
-1.1 -1.7 0 0.0246553 -0.00462967 0.0242167
-1.1 -1.6 0 0.0272377 0.0271194 0.00253557
-1.1 -1.5 0 0.029111 0.00103836 -0.0290925
-1.1 -1.4 0 0.0293444 -0.029341 -0.000449015
-1.1 -1.3 0 0.0277807 -0.000217677 0.0277799
-1.1 -1.2 0 0.0258928 0.0258915 -0.000263775
-1.1 -1.1 0 0.0258097 0.000107687 -0.0258095
-1.1 -1 0 0.0277295 -0.0275084 -0.00349432
-1.1 -0.9 0 0.0323842 -0.0132246 0.029561
-1.1 -0.8 0 0.0283277 0.0151906 0.0239104
-1.1 -0.7 0 0.0184203 0.0151155 -0.0105277
-1.1 -0.6 0 0.018914 -0.0122214 -0.0144352
-1.1 -0.5 0 0.0300069 -0.0245875 0.017201
-1.1 -0.4 0 0.0258769 0.00300912 0.0257013
-1.1 -0.3 0 0.024045 0.0240068 0.00135483
-1.1 -0.2 0 0.0192441 0.00380515 -0.0188642
-1.1 -0.1 0 0.0266505 -0.0237557 -0.0120796
-1.1 6.38378e-16 0 0.036299 -0.0309578 0.0189535
-1.1 0.1 0 0.0471795 -0.0110674 0.0458631
-1.1 0.2 0 0.0446417 0.0160489 0.0416571
-1.1 0.3 0 0.0188459 0.0136763 0.0129663
-1.1 0.4 0 0.0144035 -0.0120349 -0.00791332
-1.1 0.5 0 0.0339838 -0.0337297 -0.00414828
-1.1 0.6 0 0.0408331 -0.0395657 0.0100946
-1.1 0.7 0 0.035623 -0.0294561 0.0200334
-1.1 0.8 0 0.0139703 -0.00424305 0.0133103
-1.1 0.9 0 0.0236679 0.0236679 4.81987e-05
-1.1 1 0 0.0340853 0.0334889 -0.00634839
-1.1 1.1 0 0.0280416 0.0241828 -0.0141959
-1.1 1.2 0 0.0241362 0.0121614 -0.0208484
-1.1 1.3 0 0.0175899 -0.00289831 -0.0173495
-1.1 1.4 0 0.0277103 -0.0216627 -0.0172796
-1.1 1.5 0 0.0331876 -0.0246684 -0.0222009
-1.1 1.6 0 0.021257 -0.0171604 -0.0125452
-1.1 1.7 0 0.0210977 -0.0210153 0.00186267
-1.1 1.8 0 0.0267049 -0.0264316 0.00381061
-1.1 1.9 0 0.0248568 -0.0244573 0.00443899
-1 -2 0 0.014988 0.00710356 -0.0131978
-1 -1.9 0 0.0154661 -0.0130651 -0.00827664
-1 -1.8 0 0.0171905 -0.00946638 0.0143493
-1 -1.7 0 0.0198973 0.0171314 0.0101201
-1 -1.6 0 0.023376 0.0100781 -0.021092
-1 -1.5 0 0.0271241 -0.0253686 -0.00959937
-1 -1.4 0 0.0299704 -0.00897154 0.0285961
