X Y Z F R I
-1.8 1.9 0 0.990936 0.269806 0.953498
-1.7 -2 0 1.06619 -1.04169 0.227262
-1.7 -1.9 0 1.03376 -0.992063 0.290649
-1.7 -1.8 0 0.958562 -0.921522 0.263889
-1.7 -1.7 0 0.941632 -0.921375 0.194264
-1.7 -1.6 0 0.992709 -0.978666 0.166384
-1.7 -1.5 0 1.04787 -1.02907 0.197596
-1.7 -1.4 0 1.06777 -1.03656 0.256239
-1.7 -1.3 0 1.04047 -0.994165 0.30695
-1.7 -1.2 0 0.964958 -0.913635 0.310506
-1.7 -1.1 0 0.877646 -0.844736 0.238084
-1.7 -1 0 0.864149 -0.855925 0.118938
-1.7 -0.9 0 0.962943 -0.962215 0.0374258
-1.7 -0.8 0 1.09863 -1.09739 0.0522359
-1.7 -0.7 0 1.19009 -1.1823 0.135959
-1.7 -0.6 0 1.22527 -1.20657 0.213247
-1.7 -0.5 0 1.2508 -1.22667 0.244503
-1.7 -0.4 0 1.32113 -1.29635 0.254682
-1.7 -0.3 0 1.4454 -1.41623 0.28891
-1.7 -0.2 0 1.58576 -1.54473 0.358405
-1.7 -0.1 0 1.69337 -1.63764 0.430847
-1.7 6.38378e-16 0 1.73333 -1.67073 0.461635
-1.7 0.1 0 1.69337 -1.63764 0.430847
-1.7 0.2 0 1.58576 -1.54473 0.358405
-1.7 0.3 0 1.4454 -1.41623 0.28891
-1.7 0.4 0 1.32113 -1.29635 0.254682
-1.7 0.5 0 1.2508 -1.22667 0.244503
-1.7 0.6 0 1.22527 -1.20657 0.213247
-1.7 0.7 0 1.19009 -1.1823 0.135959
-1.7 0.8 0 1.09863 -1.09739 0.0522359
-1.7 0.9 0 0.962943 -0.962215 0.0374258
-1.7 1 0 0.864149 -0.855925 0.118938
-1.7 1.1 0 0.877646 -0.844736 0.238084
-1.7 1.2 0 0.964958 -0.913635 0.310506
-1.7 1.3 0 1.04047 -0.994165 0.30695
-1.7 1.4 0 1.06777 -1.03656 0.256239
-1.7 1.5 0 1.04787 -1.02907 0.197596
-1.7 1.6 0 0.992709 -0.978666 0.166384
-1.7 1.7 0 0.941632 -0.921375 0.194264
-1.7 1.8 0 0.958562 -0.921522 0.263889
-1.7 1.9 0 1.03376 -0.992063 0.290649
-1.6 -2 0 0.944929 -0.16243 -0.930864
-1.6 -1.9 0 0.943633 -0.072445 -0.940848
-1.6 -1.8 0 1.02867 -0.0612321 -1.02684
-1.6 -1.7 0 1.06861 -0.135968 -1.05993
-1.6 -1.6 0 1.02294 -0.188492 -1.00542
-1.6 -1.5 0 0.954966 -0.16372 -0.940827
-1.6 -1.4 0 0.934203 -0.101113 -0.928715
-1.6 -1.3 0 0.96985 -0.0526661 -0.968419
-1.6 -1.2 0 1.03878 -0.0462349 -1.03775
-1.6 -1.1 0 1.10782 -0.101494 -1.10316
-1.6 -1 0 1.12776 -0.208583 -1.10831
-1.6 -0.9 0 1.06226 -0.300526 -1.01886
-1.6 -0.8 0 0.928889 -0.303127 -0.878037
-1.6 -0.7 0 0.802785 -0.216899 -0.772929
-1.6 -0.6 0 0.74936 -0.115607 -0.740389
-1.6 -0.5 0 0.736027 -0.060616 -0.733526
-1.6 -0.4 0 0.68509 -0.0423644 -0.683779
-1.6 -0.3 0 0.573208 -0.0110809 -0.573101
-1.6 -0.2 0 0.443943 0.0562593 -0.440364
-1.6 -0.1 0 0.363093 0.130932 -0.338663
-1.6 6.38378e-16 0 0.343017 0.16359 -0.301495
-1.6 0.1 0 0.363093 0.130932 -0.338663
-1.6 0.2 0 0.443943 0.0562593 -0.440364
-1.6 0.3 0 0.573208 -0.0110809 -0.573101
-1.6 0.4 0 0.68509 -0.0423644 -0.683779
-1.6 0.5 0 0.736027 -0.060616 -0.733526
-1.6 0.6 0 0.74936 -0.115607 -0.740389
-1.6 0.7 0 0.802785 -0.216899 -0.772929
-1.6 0.8 0 0.928889 -0.303127 -0.878037
-1.6 0.9 0 1.06226 -0.300526 -1.01886
-1.6 1 0 1.12776 -0.208583 -1.10831
-1.6 1.1 0 1.10782 -0.101494 -1.10316
-1.6 1.2 0 1.03878 -0.0462349 -1.03775
-1.6 1.3 0 0.96985 -0.0526661 -0.968419
-1.6 1.4 0 0.934203 -0.101113 -0.928715
-1.6 1.5 0 0.954966 -0.16372 -0.940827
-1.6 1.6 0 1.02294 -0.188492 -1.00542
-1.6 1.7 0 1.06861 -0.135968 -1.05993
-1.6 1.8 0 1.02867 -0.0612321 -1.02684
-1.6 1.9 0 0.943633 -0.072445 -0.940848
-1.5 -2 0 1.02847 1.027 0.0548973
-1.5 -1.9 0 1.07641 1.07595 -0.0314102
-1.5 -1.8 0 1.00644 1.00202 -0.094282
-1.5 -1.7 0 0.927747 0.926956 -0.0382962
-1.5 -1.6 0 0.96004 0.959004 0.0445936
-1.5 -1.5 0 1.04255 1.04171 0.0417866
-1.5 -1.4 0 1.07088 1.07051 -0.02825
-1.5 -1.3 0 1.0331 1.02966 -0.0841884
-1.5 -1.2 0 0.967001 0.962884 -0.0891413
-1.5 -1.1 0 0.906502 0.9055 -0.0426152
-1.5 -1 0 0.894109 0.89281 0.0481788
-1.5 -0.9 0 0.972482 0.962215 0.140934
-1.5 -0.8 0 1.1103 1.09845 0.161762
-1.5 -0.7 0 1.22416 1.22139 0.0821945
-1.5 -0.6 0 1.26923 1.26863 -0.0390076
-1.5 -0.5 0 1.27241 1.26652 -0.122242
-1.5 -0.4 0 1.30257 1.29347 -0.153741
-1.5 -0.3 0 1.40199 1.39012 -0.182076
-1.5 -0.2 0 1.5453 1.52592 -0.243974
-1.5 -0.1 0 1.66902 1.6384 -0.318232
-1.5 6.38378e-16 0 1.71743 1.68098 -0.35195
-1.5 0.1 0 1.66902 1.6384 -0.318232
-1.5 0.2 0 1.5453 1.52592 -0.243974
-1.5 0.3 0 1.40199 1.39012 -0.182076
-1.5 0.4 0 1.30257 1.29347 -0.153741
-1.5 0.5 0 1.27241 1.26652 -0.122242
-1.5 0.6 0 1.26923 1.26863 -0.0390076
-1.5 0.7 0 1.22416 1.22139 0.0821945
-1.5 0.8 0 1.1103 1.09845 0.161762
-1.5 0.9 0 0.972482 0.962215 0.140934
-1.5 1 0 0.894109 0.89281 0.0481788
-1.5 1.1 0 0.906502 0.9055 -0.0426152
-1.5 1.2 0 0.967001 0.962884 -0.0891413
-1.5 1.3 0 1.0331 1.02966 -0.0841884
-1.5 1.4 0 1.07088 1.07051 -0.02825
-1.5 1.5 0 1.04255 1.04171 0.0417866
-1.5 1.6 0 0.96004 0.959004 0.0445936
-1.5 1.7 0 0.927747 0.926956 -0.0382962
-1.5 1.8 0 1.00644 1.00202 -0.094282
-1.5 1.9 0 1.07641 1.07595 -0.0314102
-1.4 -2 0 1.02357 -0.0133256 1.02349
-1.4 -1.9 0 0.925627 -0.0506319 0.924241
-1.4 -1.8 0 0.959285 -0.153811 0.946873
-1.4 -1.7 0 1.06147 -0.14936 1.05091
-1.4 -1.6 0 1.06885 -0.0494533 1.06771
-1.4 -1.5 0 0.979313 -0.00967823 0.979266
-1.4 -1.4 0 0.920977 -0.0767511 0.917773
-1.4 -1.3 0 0.963997 -0.153103 0.951762
-1.4 -1.2 0 1.03999 -0.162473 1.02722
-1.4 -1.1 0 1.08713 -0.114217 1.08111
-1.4 -1 0 1.09178 -0.035786 1.09119
-1.4 -0.9 0 1.03878 0.0476223 1.03769
-1.4 -0.8 0 0.919607 0.0811117 0.916023
-1.4 -0.7 0 0.783207 0.0163822 0.783036
-1.4 -0.6 0 0.725753 -0.11623 0.716385
-1.4 -0.5 0 0.7559 -0.230085 0.720031
-1.4 -0.4 0 0.770078 -0.282068 0.716559
-1.4 -0.3 0 0.710659 -0.309521 0.639713
-1.4 -0.2 0 0.620257 -0.362291 0.503452
-1.4 -0.1 0 0.574169 -0.431971 0.378248
-1.4 6.38378e-16 0 0.569583 -0.465217 0.328631
-1.4 0.1 0 0.574169 -0.431971 0.378248
-1.4 0.2 0 0.620257 -0.362291 0.503452
-1.4 0.3 0 0.710659 -0.309521 0.639713
-1.4 0.4 0 0.770078 -0.282068 0.716559
-1.4 0.5 0 0.7559 -0.230085 0.720031
-1.4 0.6 0 0.725753 -0.11623 0.716385
-1.4 0.7 0 0.783207 0.0163822 0.783036
-1.4 0.8 0 0.919607 0.0811117 0.916023
-1.4 0.9 0 1.03878 0.0476223 1.03769
-1.4 1 0 1.09178 -0.035786 1.09119
-1.4 1.1 0 1.08713 -0.114217 1.08111
-1.4 1.2 0 1.03999 -0.162473 1.02722
-1.4 1.3 0 0.963997 -0.153103 0.951762
-1.4 1.4 0 0.920977 -0.0767511 0.917773
-1.4 1.5 0 0.979313 -0.00967823 0.979266
-1.4 1.6 0 1.06885 -0.0494533 1.06771
-1.4 1.7 0 1.06147 -0.14936 1.05091
-1.4 1.8 0 0.959285 -0.153811 0.946873
-1.4 1.9 0 0.925627 -0.0506319 0.924241
-1.3 -2 0 0.936089 -0.907955 -0.227771
-1.3 -1.9 0 1.04552 -1.00969 -0.271366
-1.3 -1.8 0 1.07808 -1.06404 -0.173449
-1.3 -1.7 0 0.979275 -0.973424 -0.106892
-1.3 -1.6 0 0.913097 -0.894038 -0.185585
-1.3 -1.5 0 0.994331 -0.954999 -0.276898
-1.3 -1.4 0 1.08184 -1.05476 -0.240547
-1.3 -1.3 0 1.05942 -1.05013 -0.14003
-1.3 -1.2 0 0.968775 -0.962723 -0.108122
-1.3 -1.1 0 0.911782 -0.897348 -0.161594
-1.3 -1 0 0.925556 -0.893736 -0.240605
-1.3 -0.9 0 0.992926 -0.943145 -0.31045
-1.3 -0.8 0 1.1013 -1.04595 -0.344746
-1.3 -0.7 0 1.21328 -1.17621 -0.297624
-1.3 -0.6 0 1.27263 -1.26179 -0.16577
-1.3 -0.5 0 1.26649 -1.26627 -0.0236961
-1.3 -0.4 0 1.25102 -1.24971 0.0571309
-1.3 -0.3 0 1.30407 -1.30102 0.0891411
-1.3 -0.2 0 1.43887 -1.43303 0.129461
-1.3 -0.1 0 1.58335 -1.57212 0.188297
-1.3 6.38378e-16 0 1.6451 -1.63055 0.218324
-1.3 0.1 0 1.58335 -1.57212 0.188297
-1.3 0.2 0 1.43887 -1.43303 0.129461
-1.3 0.3 0 1.30407 -1.30102 0.0891411
-1.3 0.4 0 1.25102 -1.24971 0.0571309
-1.3 0.5 0 1.26649 -1.26627 -0.0236961
-1.3 0.6 0 1.27263 -1.26179 -0.16577
-1.3 0.7 0 1.21328 -1.17621 -0.297624
-1.3 0.8 0 1.1013 -1.04595 -0.344746
-1.3 0.9 0 0.992926 -0.943145 -0.31045
-1.3 1 0 0.925556 -0.893736 -0.240605
-1.3 1.1 0 0.911782 -0.897348 -0.161594
-1.3 1.2 0 0.968775 -0.962723 -0.108122
-1.3 1.3 0 1.05942 -1.05013 -0.14003
-1.3 1.4 0 1.08184 -1.05476 -0.240547
-1.3 1.5 0 0.994331 -0.954999 -0.276898
-1.3 1.6 0 0.913097 -0.894038 -0.185585
-1.3 1.7 0 0.979275 -0.973424 -0.106892
-1.3 1.8 0 1.07808 -1.06404 -0.173449
-1.3 1.9 0 1.04552 -1.00969 -0.271366
-1.2 -2 0 1.08024 0.327977 -1.02925
-1.2 -1.9 0 1.0169 0.220839 -0.992633
-1.2 -1.8 0 0.916011 0.251505 -0.880807
-1.2 -1.7 0 0.974459 0.367667 -0.902436
-1.2 -1.6 0 1.0828 0.35863 -1.02169
-1.2 -1.5 0 1.05648 0.23885 -1.02913
-1.2 -1.4 0 0.937345 0.211001 -0.913288
-1.2 -1.3 0 0.91779 0.315637 -0.861808
-1.2 -1.2 0 1.02206 0.391444 -0.94413
-1.2 -1.1 0 1.09484 0.346573 -1.03854
-1.2 -1 0 1.07663 0.25193 -1.04674
-1.2 -0.9 0 1.00551 0.186831 -0.988004
-1.2 -0.8 0 0.911871 0.164526 -0.896906
-1.2 -0.7 0 0.807866 0.201205 -0.782409
-1.2 -0.6 0 0.75814 0.320547 -0.687042
-1.2 -0.5 0 0.821699 0.481197 -0.666062
-1.2 -0.4 0 0.915335 0.597507 -0.693415
-1.2 -0.3 0 0.929948 0.643929 -0.670938
-1.2 -0.2 0 0.867418 0.670474 -0.550344
-1.2 -0.1 0 0.813849 0.70966 -0.398413
-1.2 6.38378e-16 0 0.802682 0.731795 -0.32981
-1.2 0.1 0 0.813849 0.70966 -0.398413
-1.2 0.2 0 0.867418 0.670474 -0.550344
-1.2 0.3 0 0.929948 0.643929 -0.670938
-1.2 0.4 0 0.915335 0.597507 -0.693415
-1.2 0.5 0 0.821699 0.481197 -0.666062
-1.2 0.6 0 0.75814 0.320547 -0.687042
-1.2 0.7 0 0.807866 0.201205 -0.782409
-1.2 0.8 0 0.911871 0.164526 -0.896906
-1.2 0.9 0 1.00551 0.186831 -0.988004
-1.2 1 0 1.07663 0.25193 -1.04674
-1.2 1.1 0 1.09484 0.346573 -1.03854
-1.2 1.2 0 1.02206 0.391444 -0.94413
-1.2 1.3 0 0.91779 0.315637 -0.861808
