X Y Z F R I
0.583333 0.75 0 97647.1 97632.7 1675.16
0.583333 0.916667 0 89927.8 88756.2 -14468.4
0.75 -0.916667 0 82188.8 82185.5 736.736
0.75 -0.75 0 95879.4 95850.4 -2356.27
0.75 -0.583333 0 92728 92716 1491.63
0.75 -0.416667 0 99384 99376.9 -1182.38
0.75 -0.25 0 97098.1 97098.1 -91.513
0.75 -0.0833333 0 97929.3 97925.2 887.25
0.75 0.0833333 0 99509.6 99436.2 3821.49
0.75 0.25 0 98305.9 98296.8 1340.73
0.75 0.416667 0 93481.2 93478.9 649.343
0.75 0.583333 0 95945.5 95835.9 -4584.01
0.75 0.75 0 95799 95589.8 6327.81
0.75 0.916667 0 90465.1 90441.5 -2066.7
0.916667 -0.916667 0 34569.8 33876 6891.11
0.916667 -0.75 0 70509.6 70376.9 -4324.25
0.916667 -0.583333 0 49663.5 49620.9 2057.04
0.916667 -0.416667 0 48244.9 47945.2 5368.88
0.916667 -0.25 0 62418.6 62059.3 -6687.43
0.916667 -0.0833333 0 101614 98929 23204.3
0.916667 0.0833333 0 51961.5 51893.7 2655.31
0.916667 0.25 0 50714.1 50696.3 -1345.32
0.916667 0.416667 0 56762 56622 -3983.68
0.916667 0.583333 0 36505.5 36404.9 -2708.16
0.916667 0.75 0 56771.3 56265.1 -7564.66
0.916667 0.916667 0 41686.9 37857.1 -17453.7
